Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-08 23:32:17.733804, 0:00:00.000024, 4233, 8, 67, MASTER_1, 
2024-04-08 23:32:17.733821, 0:00:00.000016, 4298, 65, 68, SLAVE_1, 
2024-04-08 23:32:17.733835, 0:00:00.000014, 4306, 8, 69, MASTER_2, 
2024-04-08 23:32:17.733850, 0:00:00.000015, 4495, 189, 70, SLAVE_2, 
2024-04-08 23:32:17.733863, 0:00:00.000013, 4503, 8, 71, MASTER_1, 
2024-04-08 23:32:17.733876, 0:00:00.000014, 4568, 65, 72, SLAVE_1, 
2024-04-08 23:32:17.733890, 0:00:00.000014, 4576, 8, 73, MASTER_2, 
2024-04-08 23:32:17.733904, 0:00:00.000013, 4765, 189, 74, SLAVE_2, 
2024-04-08 23:32:17.733916, 0:00:00.000012, 4773, 8, 75, MASTER_1, 
2024-04-08 23:32:17.733930, 0:00:00.000013, 4838, 65, 76, SLAVE_1, 
2024-04-08 23:32:17.733940, 0:00:00.000010, 4846, 8, 77, MASTER_2, 
2024-04-08 23:32:17.733948, 0:00:00.000008, 5035, 189, 78, SLAVE_2, 
2024-04-08 23:32:17.733957, 0:00:00.000008, 5043, 8, 79, MASTER_1, 
2024-04-08 23:32:17.733968, 0:00:00.000012, 5108, 65, 80, SLAVE_1, 
2024-04-08 23:32:17.733977, 0:00:00.000008, 5116, 8, 81, MASTER_6, 
2024-04-08 23:32:17.733986, 0:00:00.000010, 5301, 185, 82, SLAVE_6, 
2024-04-08 23:32:17.733996, 0:00:00.000011, 5332, 31, 83, MASTER_5, 
2024-04-08 23:32:17.734010, 0:00:00.000013, 5340, 8, 84, SLAVE_5, 
2024-04-08 23:32:17.734021, 0:00:00.000012, 5348, 8, 85, MASTER_1, 
2024-04-08 23:32:17.734033, 0:00:00.000012, 5413, 65, 86, SLAVE_1, 
2024-04-08 23:32:17.734045, 0:00:00.000012, 5421, 8, 87, MASTER_2, 
2024-04-08 23:32:17.734057, 0:00:00.000012, 5610, 189, 88, SLAVE_2, 
2024-04-08 23:32:17.734069, 0:00:00.000012, 5618, 8, 89, MASTER_1, 
2024-04-08 23:32:17.734080, 0:00:00.000012, 5683, 65, 90, SLAVE_1, 
2024-04-08 23:32:17.734090, 0:00:00.000008, 5691, 8, 91, MASTER_2, 
2024-04-08 23:32:17.734098, 0:00:00.000007, 5880, 189, 92, SLAVE_2, 
2024-04-08 23:32:17.734105, 0:00:00.000007, 5888, 8, 93, MASTER_1, 
2024-04-08 23:32:17.734112, 0:00:00.000008, 5953, 65, 94, SLAVE_1, 
2024-04-08 23:32:17.734119, 0:00:00.000007, 5961, 8, 95, MASTER_2, 
2024-04-08 23:32:17.734128, 0:00:00.000009, 6150, 189, 96, SLAVE_2, 
2024-04-08 23:32:17.734135, 0:00:00.000007, 6158, 8, 97, MASTER_1, 
2024-04-08 23:32:17.734143, 0:00:00.000008, 6223, 65, 98, SLAVE_1, 
2024-04-08 23:32:17.734150, 0:00:00.000007, 6231, 8, 99, MASTER_2, 
2024-04-08 23:32:17.734158, 0:00:00.000007, 6420, 189, 100, SLAVE_2, 
2024-04-08 23:32:17.734165, 0:00:00.000007, 6428, 8, 101, MASTER_1, 
2024-04-08 23:32:17.734172, 0:00:00.000008, 6493, 65, 102, SLAVE_1, 
2024-04-08 23:32:17.734179, 0:00:00.000007, 6501, 8, 103, MASTER_2, 
2024-04-08 23:32:17.734187, 0:00:00.000008, 6509, 8, 104, SLAVE_2(*ERROR*), 
2024-04-08 23:32:17.734194, 0:00:00.000006, 6690, 181, 105, MASTER_3, 
2024-04-08 23:32:17.734202, 0:00:00.000008, 6698, 8, 106, SLAVE_3, 
2024-04-08 23:32:17.734211, 0:00:00.000010, 6887, 189, 107, MASTER_7, 
2024-04-08 23:32:17.734219, 0:00:00.000008, 6895, 8, 108, SLAVE_6(*ERROR*), 
2024-04-08 23:32:17.734228, 0:00:00.000009, 7076, 181, 109, MASTER_7, 
2024-04-08 23:32:17.734237, 0:00:00.000009, 7084, 8, 110, SLAVE_6(*ERROR*), 
2024-04-08 23:32:17.734243, 0:00:00.000006, 7265, 181, 111, MASTER_7, 
2024-04-08 23:32:17.734254, 0:00:00.000011, 7273, 8, 112, SLAVE_6(*ERROR*), 
2024-04-08 23:32:17.734261, 0:00:00.000008, 7454, 181, 113, MASTER_8, 
2024-04-08 23:32:17.734278, 0:00:00.000017, 7462, 8, 114, SLAVE_2(*ERROR*), 
2024-04-08 23:32:17.734288, 0:00:00.000010, 7643, 181, 115, MASTER_8, 
2024-04-08 23:32:17.734300, 0:00:00.000012, 7651, 8, 116, SLAVE_6(*ERROR*), 
2024-04-08 23:32:17.734802, 0:00:00.000508, 7651, 0, 117, MASTER_1, 
2024-04-08 23:32:17.734829, 0:00:00.000022, 7716, 65, 118, SLAVE_1, 
2024-04-08 23:32:17.734844, 0:00:00.000016, 7724, 8, 119, MASTER_2, 
2024-04-08 23:32:17.734860, 0:00:00.000014, 7913, 189, 120, SLAVE_2, 
2024-04-08 23:32:17.734872, 0:00:00.000012, 7921, 8, 121, MASTER_1, 
2024-04-08 23:32:17.734884, 0:00:00.000011, 7986, 65, 122, SLAVE_1, 
2024-04-08 23:32:17.734896, 0:00:00.000013, 7994, 8, 123, MASTER_2, 
2024-04-08 23:32:17.734908, 0:00:00.000012, 8183, 189, 124, SLAVE_2, 
2024-04-08 23:32:17.734920, 0:00:00.000012, 8191, 8, 125, MASTER_1, 
2024-04-08 23:32:17.735111, 0:00:00.000197, 8256, 65, 126, SLAVE_1, 
2024-04-08 23:32:17.735134, 0:00:00.000017, 8264, 8, 127, MASTER_2, 
2024-04-08 23:32:17.735149, 0:00:00.000015, 8453, 189, 128, SLAVE_2, 
2024-04-08 23:32:17.735162, 0:00:00.000013, 8461, 8, 129, MASTER_1, 
2024-04-08 23:32:17.735177, 0:00:00.000015, 8526, 65, 130, SLAVE_1, 
2024-04-08 23:32:17.735190, 0:00:00.000013, 8534, 8, 131, MASTER_2, 
2024-04-08 23:32:17.735205, 0:00:00.000015, 8723, 189, 132, SLAVE_2, 
2024-04-08 23:32:17.735218, 0:00:00.000017, 8731, 8, 133, MASTER_1, 
2024-04-08 23:32:17.735236, 0:00:00.000014, 8796, 65, 134, SLAVE_1, 
2024-04-08 23:32:17.735250, 0:00:00.000014, 8804, 8, 135, MASTER_2, 
2024-04-08 23:32:17.735264, 0:00:00.000014, 8993, 189, 136, SLAVE_2, 
2024-04-08 23:32:17.735277, 0:00:00.000013, 9001, 8, 137, MASTER_1, 
2024-04-08 23:32:17.735291, 0:00:00.000014, 9066, 65, 138, SLAVE_1, 
2024-04-08 23:32:17.735304, 0:00:00.000014, 9074, 8, 139, MASTER_2, 
2024-04-08 23:32:17.735318, 0:00:00.000013, 9263, 189, 140, SLAVE_2, 
2024-04-08 23:32:17.735331, 0:00:00.000013, 9271, 8, 141, MASTER_1, 
2024-04-08 23:32:17.735344, 0:00:00.000012, 9336, 65, 142, SLAVE_1, 
2024-04-08 23:32:17.735357, 0:00:00.000014, 9344, 8, 143, MASTER_2, 
2024-04-08 23:32:17.735371, 0:00:00.000014, 9533, 189, 144, SLAVE_2, 
2024-04-08 23:32:17.735383, 0:00:00.000012, 9541, 8, 145, MASTER_1, 
2024-04-08 23:32:17.735396, 0:00:00.000013, 9606, 65, 146, SLAVE_1, 
2024-04-08 23:32:17.735410, 0:00:00.000014, 9614, 8, 147, MASTER_2, 
2024-04-08 23:32:17.735447, 0:00:00.000039, 9803, 189, 148, SLAVE_2, 
2024-04-08 23:32:17.735465, 0:00:00.000016, 9811, 8, 149, MASTER_1, 
2024-04-08 23:32:17.735479, 0:00:00.000014, 9876, 65, 150, SLAVE_1, 
2024-04-08 23:32:17.735493, 0:00:00.000014, 9884, 8, 151, MASTER_2, 
2024-04-08 23:32:17.735506, 0:00:00.000013, 10073, 189, 152, SLAVE_2, 
2024-04-08 23:32:17.735518, 0:00:00.000012, 10081, 8, 153, MASTER_1, 
2024-04-08 23:32:17.735529, 0:00:00.000011, 10146, 65, 154, SLAVE_1, 
2024-04-08 23:32:17.735540, 0:00:00.000010, 10154, 8, 155, MASTER_2, 
2024-04-08 23:32:17.735551, 0:00:00.000012, 10343, 189, 156, SLAVE_2, 
2024-04-08 23:32:17.735563, 0:00:00.000012, 10351, 8, 157, MASTER_1, 
2024-04-08 23:32:17.735575, 0:00:00.000012, 10416, 65, 158, SLAVE_1, 
2024-04-08 23:32:17.735587, 0:00:00.000012, 10424, 8, 159, MASTER_2, 
2024-04-08 23:32:17.735599, 0:00:00.000012, 10613, 189, 160, SLAVE_2, 
2024-04-08 23:32:17.735611, 0:00:00.000011, 10621, 8, 161, MASTER_1, 
2024-04-08 23:32:17.735623, 0:00:00.000013, 10686, 65, 162, SLAVE_1, 
2024-04-08 23:32:17.735636, 0:00:00.000012, 10694, 8, 163, MASTER_2, 
2024-04-08 23:32:17.735645, 0:00:00.000009, 10883, 189, 164, SLAVE_2, 
2024-04-08 23:32:17.735652, 0:00:00.000007, 10891, 8, 165, MASTER_1, 
2024-04-08 23:32:17.735659, 0:00:00.000007, 10956, 65, 166, SLAVE_1, 
2024-04-08 23:32:17.735667, 0:00:00.000007, 10964, 8, 167, MASTER_2, 
2024-04-08 23:32:17.735674, 0:00:00.000008, 11153, 189, 168, SLAVE_2, 
2024-04-08 23:32:17.735682, 0:00:00.000007, 11161, 8, 169, MASTER_1, 
2024-04-08 23:32:17.735689, 0:00:00.000008, 11226, 65, 170, SLAVE_1, 
2024-04-08 23:32:17.735696, 0:00:00.000007, 11234, 8, 171, MASTER_2, 
2024-04-08 23:32:17.735704, 0:00:00.000008, 11423, 189, 172, SLAVE_2, 
2024-04-08 23:32:17.735714, 0:00:00.000011, 11431, 8, 173, MASTER_1, 
2024-04-08 23:32:17.735726, 0:00:00.000011, 11496, 65, 174, SLAVE_1, 
2024-04-08 23:32:17.735737, 0:00:00.000012, 11504, 8, 175, MASTER_2, 
2024-04-08 23:32:17.735758, 0:00:00.000021, 11693, 189, 176, SLAVE_2, 
2024-04-08 23:32:17.735770, 0:00:00.000013, 11701, 8, 177, MASTER_1, 
2024-04-08 23:32:17.735784, 0:00:00.000013, 11766, 65, 178, SLAVE_1, 
2024-04-08 23:32:17.735797, 0:00:00.000013, 11774, 8, 179, MASTER_2, 
2024-04-08 23:32:17.735811, 0:00:00.000014, 11963, 189, 180, SLAVE_2, 
2024-04-08 23:32:17.735829, 0:00:00.000018, 11971, 8, 181, MASTER_1, 
2024-04-08 23:32:17.735842, 0:00:00.000013, 12036, 65, 182, SLAVE_1, 
2024-04-08 23:32:17.735856, 0:00:00.000014, 12044, 8, 183, MASTER_2, 
2024-04-08 23:32:17.735870, 0:00:00.000014, 12233, 189, 184, SLAVE_2, 
2024-04-08 23:32:17.735884, 0:00:00.000013, 12241, 8, 185, MASTER_1, 
2024-04-08 23:32:17.736204, 0:00:00.000337, 12306, 65, 186, SLAVE_1, 
2024-04-08 23:32:17.736248, 0:00:00.000029, 12314, 8, 187, MASTER_2, 
2024-04-08 23:32:17.736266, 0:00:00.000017, 12503, 189, 188, SLAVE_2, 
2024-04-08 23:32:17.736280, 0:00:00.000015, 12511, 8, 189, MASTER_1, 
